objectid,folderid,customerkey,name,description,issendable,istestable,createddate,modifieddate,jobid,batchid,eventdate,subscriberid,accountid,listid,domain,subscriberkey,time
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,85554,0,8/10/2018 1:38:17 AM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,85554,0,8/10/2018 1:38:31 AM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,85554,0,8/10/2018 1:40:14 AM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,85554,0,8/10/2018 9:06:06 AM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,85601,0,8/10/2018 2:35:10 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,85608,0,8/10/2018 2:35:26 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,88225,0,9/11/2018 3:23:49 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,88245,0,9/11/2018 8:36:12 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,88284,0,9/12/2018 5:18:02 AM,94150217,7204042,69184,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,88284,0,9/12/2018 5:18:11 AM,94150217,7204042,69184,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,88289,0,9/12/2018 6:28:19 AM,94150217,7204042,69184,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,88289,0,9/12/2018 6:28:31 AM,94150217,7204042,69184,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,88312,0,9/12/2018 2:41:04 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,88318,0,9/12/2018 2:41:24 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91032,0,10/4/2018 9:13:14 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91032,0,10/4/2018 9:13:17 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91032,0,10/4/2018 9:13:17 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91109,0,10/5/2018 1:36:52 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91109,0,10/5/2018 1:36:54 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91123,0,10/5/2018 6:48:40 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91335,0,10/8/2018 1:31:26 PM,94150217,7204042,69184,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91392,0,10/9/2018 9:16:04 AM,94150217,7204042,69184,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91392,0,10/9/2018 9:16:07 AM,94150217,7204042,69184,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91919,0,10/15/2018 1:30:22 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,92171,0,10/17/2018 6:13:16 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,92171,0,10/17/2018 6:13:18 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,92822,0,10/24/2018 4:45:59 AM,94150217,7204042,69184,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,93010,0,10/25/2018 6:47:37 AM,94150217,7204042,69184,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,93010,0,10/25/2018 6:47:40 AM,94150217,7204042,69184,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,93010,0,10/25/2018 7:05:05 AM,94150217,7204042,69184,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,93410,0,10/30/2018 3:17:40 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,93410,0,10/30/2018 3:17:42 PM,94150217,7204042,65732,treasure-data.com,59ec6c68-33f0-435a-bca8-04404c5c2d65,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91019,0,10/4/2018 4:03:17 PM,99113045,7204042,65884,treasure-data.com,5c5f2906-d13b-4e6d-998a-de0b80483d91,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:09:43 AM,99113045,7204042,65884,treasure-data.com,5c5f2906-d13b-4e6d-998a-de0b80483d91,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 8:52:40 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 8:52:52 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:00:35 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:00:57 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:01:05 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:01:05 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:01:05 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:01:05 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:01:05 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:03:30 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:09:37 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:12:57 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:12:58 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:13:01 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:13:05 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:13:07 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:13:08 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:20:01 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 10:20:03 AM,99113077,7204042,65884,treasure-data.com,d58f3f29-25a0-4716-87ac-4cd9e9767ee0,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91019,0,10/4/2018 4:08:16 PM,99113078,7204042,65884,gmail.com,dda9a7c1-d6f5-494c-a38f-0f42b9a243ae,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91019,0,10/4/2018 4:08:16 PM,99113078,7204042,65884,gmail.com,dda9a7c1-d6f5-494c-a38f-0f42b9a243ae,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91019,0,10/4/2018 4:08:16 PM,99113079,7204042,65884,gmail.com,ddeb22b4-2e0d-42a8-8b58-9a5a9b9584bd,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91019,0,10/4/2018 4:08:16 PM,99113083,7204042,65884,gmail.com,e81ec488-1298-4051-bd14-4990b5764019,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91019,0,10/4/2018 4:08:16 PM,99113085,7204042,65884,gmail.com,ec83409c-7dd7-489a-b05c-b5ecb93a4eb2,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91140,0,10/6/2018 4:00:15 AM,99113087,7204042,65884,treasure-data.com,ef36d425-329c-4044-a2a1-3f3c38b66623,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91019,0,10/5/2018 8:54:45 AM,99113088,7204042,65884,gmail.com,f379d93a-36cc-4a39-993d-e45922c2c535,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91205,0,10/7/2018 10:02:05 AM,99113088,7204042,65884,gmail.com,f379d93a-36cc-4a39-993d-e45922c2c535,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91019,0,10/4/2018 4:28:51 PM,99113090,7204042,65884,gmail.com,f5b8373d-7726-4390-aa7b-434ed889be4a,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91041,0,10/5/2018 12:35:45 AM,99113090,7204042,65884,gmail.com,f5b8373d-7726-4390-aa7b-434ed889be4a,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91140,0,10/6/2018 4:05:34 AM,99113090,7204042,65884,gmail.com,f5b8373d-7726-4390-aa7b-434ed889be4a,1541545120
c55e2345-8de1-e811-a2d2-1402ec94baa0,25963,25117FB9-4852-4136-900F-2311B2A1EA4F,scott_test_open,"",0,0,2018-11-06T00:29:11,2018-11-06T14:58:05,91140,0,10/6/2018 4:05:37 AM,99113090,7204042,65884,gmail.com,f5b8373d-7726-4390-aa7b-434ed889be4a,1541545120
